time_s,naive_float32_K_m_s,centered_float32_K_m_s,quantized_input_float64_K_m_s
4120.0,-0.0014352798461914062,0.000930494221393019,0.0009303854600341708
4130.0,-0.0014352798461914062,0.0009119780734181404,0.0009117708377357338
4140.0,-0.0013904571533203125,0.000928760739043355,0.0009283532902305494
4150.0,-0.0014696121215820312,0.0009151510312221944,0.0009148732058491532
4160.0,-0.001415252685546875,0.0009244661196134984,0.0009243809826035504
4170.0,-0.0014133453369140625,0.0009197377366945148,0.0009194589217749189
4180.0,-0.0014209747314453125,0.0009198800544254482,0.0009194773740005836
4190.0,-0.00146484375,0.0009245505789294839,0.0009243638136875165
4200.0,-0.0014104843139648438,0.0009149949182756245,0.0009148879400317282
4210.0,-0.0013942718505859375,0.0009286913555115461,0.0009283420542329831
4220.0,-0.001438140869140625,0.000912142510060221,0.0009117785088955187
4230.0,-0.0014476776123046875,0.0009305061539635062,0.0009303827833809767
4240.0,-0.0014276504516601562,0.0009111182880587876,0.0009109383574226574
4250.0,-0.0013856887817382812,0.0009303685510531068,0.0009299680385921351
4260.0,-0.0014657974243164062,0.0009128890815190971,0.0009125813402686949
4270.0,-0.0014200210571289062,0.0009272918687202036,0.000927203356062493
4280.0,-0.0014219284057617188,0.0009165451629087329,0.000916289513277494
4290.0,-0.00141143798828125,0.0009231985895894468,0.0009227906436522836
4300.0,-0.0014657974243164062,0.0009213368175551295,0.0009211216144404328
4310.0,-0.0014085769653320312,0.0009179461630992591,0.0009178506062758174
4320.0,-0.0014009475708007812,0.0009261772502213717,0.0009258508768460198
4330.0,-0.0014276504516601562,0.0009140170295722783,0.0009136380939343294
4340.0,-0.0014600753784179688,0.0009294164483435452,0.0009292753895852953
4350.0,-0.0014181137084960938,0.0009113724809139967,0.000911223063461346
4360.0,-0.0013914108276367188,0.0009309136657975614,0.0009305255786867324
4370.0,-0.0014591217041015625,0.0009115516440942883,0.0009112184044917835
4380.0,-0.0014247894287109375,0.0009293813491240144,0.0009292842414771365
4390.0,-0.0014276504516601562,0.0009138580644503236,0.0009136257760903223
4400.0,-0.0014028549194335938,0.0009262760868296027,0.000925866626934297
4410.0,-0.0014677047729492188,0.0009180795168504119,0.0009178331444368482
4420.0,-0.0014104843139648438,0.0009212287841364741,0.0009211404819257559
4430.0,-0.001407623291015625,0.0009230753057636321,0.0009227726164763473
4440.0,-0.00142669677734375,0.000916699122171849,0.0009163061744604894
4450.0,-0.0014600753784179688,0.00092735217185691,0.0009271898674776926
4460.0,-0.0014142990112304688,0.000912716262973845,0.0009125918250650929
4470.0,-0.0013933181762695312,0.0009303332772105932,0.00092996242118465
4480.0,-0.0014476776123046875,0.0009112920961342752,0.0009109402928188713
4490.0,-0.0014352798461914062,0.0009304953273385763,0.0009303861664095976
4500.0,-0.0014352798461914062,0.0009119791793636978,0.0009117715207083242
4510.0,-0.0013904571533203125,0.0009287618449889123,0.0009283539493154494
4520.0,-0.0014696121215820312,0.0009151520789600909,0.0009148738439238407
4530.0,-0.001415252685546875,0.0009244671673513949,0.0009243816010135402
4540.0,-0.0014133453369140625,0.0009197387844324112,0.0009194595190442677
4550.0,-0.0014209747314453125,0.0009198811021633446,0.0009194779507290667
4560.0,-0.00146484375,0.0009245515684597194,0.0009243643725552252
4570.0,-0.0014104843139648438,0.00091499590780586,0.0009148884812185003
4580.0,-0.0013942718505859375,0.0009286923450417817,0.0009283425765409196
4590.0,-0.001438140869140625,0.0009121434413827956,0.0009117790137598801
4600.0,-0.0014476776123046875,0.0009305070852860808,0.0009303832728359354
4610.0,-0.0014276504516601562,0.0009111192193813622,0.0009109388308504286
4620.0,-0.0013856887817382812,0.0009303694823756814,0.0009299684954260967
4630.0,-0.0014657974243164062,0.0009128899546340108,0.000912581782371716
4640.0,-0.0014200210571289062,0.0009272927418351173,0.0009272037846151357
4650.0,-0.0014219284057617188,0.0009165460360236466,0.0009162899273186643
4660.0,-0.00141143798828125,0.0009231994627043605,0.0009227910433503568
4670.0,-0.0014657974243164062,0.0009213376324623823,0.0009211220016559538
4680.0,-0.0014085769653320312,0.0009179469780065119,0.0009178509813639116
4690.0,-0.0014009475708007812,0.0009261780651286244,0.0009258512389168163
4700.0,-0.0014276504516601562,0.0009140177862718701,0.0009136384437815708
4710.0,-0.0014600753784179688,0.0009294172050431371,0.0009292757287238995
4720.0,-0.0014181137084960938,0.0009113732376135886,0.0009112233916254059
4730.0,-0.0013914108276367188,0.0009309144224971533,0.0009305258953453563
4740.0,-0.0014591217041015625,0.0009115523425862193,0.0009112187108181261
4750.0,-0.0014247894287109375,0.0009293820476159453,0.0009292845384475235
4760.0,-0.0014276504516601562,0.0009138587629422545,0.0009136260631102739
4770.0,-0.0014028549194335938,0.0009262767853215337,0.0009258669039549496
4780.0,-0.0014677047729492188,0.0009180801571346819,0.0009178334127214646
4790.0,-0.0014104843139648438,0.0009212294244207442,0.0009211407418817369
4800.0,-0.001407623291015625,0.0009230759460479021,0.0009227728674717537
4810.0,-0.00142669677734375,0.0009166997042484581,0.0009163064168982361
4820.0,-0.0014600753784179688,0.0009273527539335191,0.0009271901024582609
4830.0,-0.0014142990112304688,0.0009127168450504541,0.0009125920525293239
4840.0,-0.0013933181762695312,0.0009303338592872024,0.0009299626406864142
4850.0,-0.0014476776123046875,0.0009112926782108843,0.0009109405050734803
4860.0,-0.0014352798461914062,0.0009304959094151855,0.0009303863721909886
4870.0,-0.0014352798461914062,0.0009119797614403069,0.0009117717196718421
4880.0,-0.0013904571533203125,0.0009287624270655215,0.0009283541413196355
4890.0,-0.0014696121215820312,0.0009151526610367,0.000914874029807543
4900.0,-0.001415252685546875,0.000924467749428004,0.0009243817811688024
4910.0,-0.0014133453369140625,0.0009197393665090203,0.0009194596930406039
4920.0,-0.0014209747314453125,0.0009198816842399538,0.0009194781187412579
4930.0,-0.00146484375,0.0009245521505363286,0.0009243645353645163
4940.0,-0.0014104843139648438,0.0009149964898824692,0.0009148886388770695
4950.0,-0.0013942718505859375,0.0009286929271183908,0.0009283427286993867
4960.0,-0.001438140869140625,0.0009121440234594047,0.000911779160836641
4970.0,-0.0014476776123046875,0.00093050766736269,0.0009303834154239055
4980.0,-0.0014276504516601562,0.0009111198014579713,0.0009109389687693448
4990.0,-0.0013856887817382812,0.0009303700644522905,0.000929968628510723
5000.0,-0.0014657974243164062,0.0009128905367106199,0.0009125819111650197
5010.0,-0.0014200210571289062,0.0009272933239117265,0.0009272039094611167
5020.0,-0.0014219284057617188,0.0009165466181002557,0.000916290047937087
5030.0,-0.00141143798828125,0.0009231999865733087,0.0009227911597902515
5040.0,-0.0014657974243164062,0.0009213381563313305,0.0009211221144595677
5050.0,-0.0014085769653320312,0.0009179475018754601,0.0009178510906346241
5060.0,-0.0014009475708007812,0.0009261785307899117,0.0009258513443952865
5070.0,-0.0014276504516601562,0.0009140182519331574,0.0009136385456990704
5080.0,-0.0014600753784179688,0.0009294176707044244,0.0009292758275218483
5090.0,-0.0014181137084960938,0.0009113737032748759,0.000911223487226216
5100.0,-0.0013914108276367188,0.0009309148299507797,0.0009305259875942313
5110.0,-0.0014591217041015625,0.0009115527500398457,0.0009112188000570293
5120.0,-0.0014247894287109375,0.0009293824550695717,0.0009292846249609794
5130.0,-0.0014276504516601562,0.0009138591703958809,0.0009136261467249194
5140.0,-0.0014028549194335938,0.0009262771345674992,0.0009258669846565163
5150.0,-0.0014677047729492188,0.0009180805063806474,0.0009178334908780945
5160.0,-0.0014104843139648438,0.0009212297736667097,0.0009211408176121429
