case_id,grid,window_start_s,window_end_s,z_m,w_variance_m2_s2,w_third_central_moment_m3_s3,skewness_ratio_of_time_averaged_moments,mean_of_four_halfhour_skewness_ratios,valid
coarse_none_weno9,coarse,7200,14400,600.0,0.398717567,0.030373913699999998,0.12064315852935953,0.1195668273672757,true
coarse_none_weno9,coarse,7200,14400,620.0,0.39995998125,0.028796306775000002,0.11384448126197745,0.11310558721158528,true
coarse_none_weno9,coarse,7200,14400,640.0,0.398912124,0.028825936375,0.1144109442481956,0.1139580893725926,true
coarse_none_weno9,coarse,7200,14400,660.0,0.39394591025000003,0.0305567449,0.12358113917148096,0.12332639981477883,true
coarse_none_weno9,coarse,7200,14400,680.0,0.38326044400000003,0.03383650535,0.14260820220514794,0.14246389863836553,true
coarse_none_weno9,coarse,7200,14400,700.0,0.3650276735,0.038238137049999996,0.17338360945243092,0.17326900915974916,true
coarse_none_weno9,coarse,7200,14400,720.0,0.33745306725,0.04302740655,0.21949523674507457,0.21935373843613987,true
coarse_none_weno9,coarse,7200,14400,740.0,0.29892872249999997,0.047020082325000004,0.28769473624579717,0.28752450724405954,true
coarse_none_weno9,coarse,7200,14400,760.0,0.24851899225,0.048442769825,0.3910115545327977,0.3909217589048441,true
coarse_none_weno9,coarse,7200,14400,780.0,0.18715088075,0.044958325125,0.5552931431275115,0.5557174651000616,true
coarse_none_weno9,coarse,7200,14400,800.0,0.12005191675000002,0.034622280874999994,0.8323424177965476,0.8347832805291999,true
coarse_none_weno9,coarse,7200,14400,820.0,0.05904594995,0.018848488099999998,1.3136853254328476,1.3218703497631317,true
coarse_none_weno9,coarse,7200,14400,840.0,0.01911433855,0.0052890816575,2.0014344056576276,1.9929622915120442,true
coarse_none_weno9,coarse,7200,14400,860.0,0.00394380116,0.00034652201147500003,1.3991307806401214,1.1533630940772106,true
coarse_none_weno9,coarse,7200,14400,880.0,0.0027729143625,-1.6459345592499997e-5,-0.11272179041461936,-0.11377943787857435,true
coarse_none_weno9,coarse,7200,14400,900.0,0.0032721849250000002,4.1846100425e-5,0.2235621274135034,0.22941185275211692,true
coarse_none_weno9,coarse,7200,14400,920.0,0.0034839451550000003,5.2298627450000004e-5,0.2543216465936951,0.2469097677684688,true
coarse_none_weno9,coarse,7200,14400,940.0,0.003290482565,1.836473635975e-5,0.09729607192423591,0.09103446177431326,true
coarse_none_weno9,coarse,7200,14400,960.0,0.0031911337275000004,-1.38832965525e-5,-0.07701496002039875,-0.08030657054089128,true
coarse_none_weno9,coarse,7200,14400,980.0,0.0033764941000000003,-2.3853206575000002e-5,-0.1215759793024664,-0.12277315236825889,true
coarse_none_weno9,coarse,7200,14400,1000.0,0.0036018061224999997,-1.6597157775e-5,-0.07678090460638112,-0.07551645081717129,true
coarse_none_weno9,coarse,7200,14400,1020.0,0.0036166468075000003,-3.6747349875e-6,-0.016895337678845334,-0.013811422208598958,true
coarse_none_weno9,coarse,7200,14400,1040.0,0.0033777125649999996,2.8106001279999994e-6,0.014317428652050759,0.01853112344618071,true
coarse_none_weno9,coarse,7200,14400,1060.0,0.003142920265,4.69206885e-6,0.026629580890574028,0.03179141894003257,true
coarse_none_weno9,coarse,7200,14400,1080.0,0.003154018255,1.22565023725e-5,0.06919428876734192,0.07384138478447534,true
coarse_none_weno9,coarse,7200,14400,1100.0,0.00336198765,2.7625630525000003e-5,0.1417157202834781,0.1443789941692608,true
coarse_none_weno9,coarse,7200,14400,1120.0,0.00351106102,4.16632256e-5,0.20026051302401138,0.20101134990128938,true
coarse_none_weno9,coarse,7200,14400,1140.0,0.00342004851,4.4475947125e-5,0.22237031232331733,0.22174425171915263,true
coarse_none_weno9,coarse,7200,14400,1160.0,0.003161010975,3.66225818e-5,0.20606771345399985,0.2044620307045686,true
coarse_none_weno9,coarse,7200,14400,1180.0,0.0028992304,2.606037925e-5,0.16693854995207885,0.16407727586994117,true
coarse_none_weno9,coarse,7200,14400,1200.0,0.00274007686,1.85942704e-5,0.12963880664582297,0.12493761462281827,true
coarse_none_weno9,coarse,7200,14400,1220.0,0.0026720681925,1.48569577075e-5,0.1075619287146637,0.10125189174628177,true
coarse_none_weno9,coarse,7200,14400,1240.0,0.00260572828,1.2235727705e-5,0.0919890458075233,0.08488721260381751,true
coarse_none_weno9,coarse,7200,14400,1260.0,0.00248292176,8.66254938625e-6,0.07001662483580665,0.062703625609749,true
coarse_none_weno9,coarse,7200,14400,1280.0,0.0023447779825,5.2478480825e-6,0.046219863998198996,0.039560659118831804,true
coarse_none_weno9,coarse,7200,14400,1300.0,0.0022266570875000002,3.3513948075000003e-6,0.03189668748637527,0.027124315433281292,true
coarse_none_weno9,coarse,7200,14400,1320.0,0.0020640021825,2.6397669625e-6,0.028151423548833283,0.025412910491597933,true
coarse_none_weno9,coarse,7200,14400,1340.0,0.0017989385775,1.6435287175e-6,0.021540351910531295,0.0207947885049094,true
coarse_none_weno9,coarse,7200,14400,1360.0,0.00151155467,-3.68041072975e-6,-0.06262684004075847,-0.05317325711550162,true
coarse_none_weno9,coarse,7200,14400,1380.0,0.0013627072925000002,-1.93048509625e-5,-0.3837625427762448,-0.3236672354267889,true
